"","Est_All_Obs","Est_No_Outliers","SE_All_Obs","SE_No_Outliers","perc_chg_coef","perc_chg_SE"
"(Intercept)",4.9516672442,4.9378155156,0.125037669,0.1246423656,-0.0027973868,-0.003161474
"age",-0.0464893784,-0.0470948016,0.0006929202,0.000692592,0.0130228282,-0.0004736907
"mileage",-4.6719e-06,-4.645e-06,5.77e-08,5.75e-08,-0.0057575704,-0.0022473508
"daysonmarket",-0.0009106914,-0.0009240951,5.30144e-05,5.28442e-05,0.0147181512,-0.0032108784
"log(horsepower)",0.7206493425,0.7197190915,0.006433658,0.0064140692,-0.001290851,-0.0030447351
"log(best_mpg)",-0.0531856143,-0.0525594693,0.0110118877,0.0109759397,-0.0117728278,-0.0032644733
"log(wheelbase)",0.3620301397,0.3668383028,0.0239350737,0.0238641483,0.0132811127,-0.0029632412
"max_seating",-0.0262304792,-0.0260908996,0.0014319302,0.0014271585,-0.0053212762,-0.0033323512
"log(poverty_percent)",0.0305392087,0.0300190679,0.0071126127,0.0070888675,-0.0170319031,-0.0033384678
"log(asian_only_percent)",0.0209349783,0.0217543939,0.0050254306,0.0050083553,0.0391409818,-0.003397772
"log(hispanic_percent)",-0.0307943937,-0.0308891708,0.0055045257,0.0054866322,0.0030777409,-0.0032506957
"log(white_only_percent)",0.0981485328,0.1027603745,0.0200973969,0.0200321565,0.0469883918,-0.0032462125
"uncommon_make1",0.2038548913,0.2056157749,0.0242484377,0.0241627541,0.0086379266,-0.0035335756
"spcl_fuelBIODIESEL-CNG-PROPANE",0.2903040705,0.2890351081,0.0426847214,0.0425335195,-0.0043711492,-0.0035422958
"spcl_fuelDIESEL",0.2798831539,0.2802420975,0.0188456752,0.0187789316,0.0012824768,-0.0035415919
"spcl_fuelELECTRIC-HYBRID",0.1640772003,0.1639297188,0.0076368177,0.0076101683,-0.0008988543,-0.0034895968
"AWD_4WD1",0.1870380602,0.1870332052,0.0037117989,0.0036997304,-2.59574e-05,-0.003251392
"single_owner1",0.0235798279,0.0230911793,0.0034841945,0.0034729144,-0.0207231596,-0.0032375204
"dealer_typeAgg.",-0.0285789713,-0.0294601981,0.00623647,0.0062155932,0.0308347988,-0.0033475287
"dealer_typeFleet",-0.1329376036,-0.1339212334,0.0053563731,0.0053388046,0.0073991847,-0.0032799288
"dealer_typeFranchise",0.0418817188,0.0409232147,0.0036734067,0.003662763,-0.022885977,-0.0028975135
"has_accidents1",-0.0215000806,-0.021077797,0.0048583693,0.0048413279,-0.0196410243,-0.0035076491
