"","2.5 %","97.5 %"
"(Intercept)",4.7065860404,5.196748448
"age",-0.047847543,-0.0451312139
"mileage",-4.7849e-06,-4.5589e-06
"daysonmarket",-0.0010146028,-0.0008067799
"log(horsepower)",0.7080389934,0.7332596915
"log(best_mpg)",-0.0747695636,-0.0316016651
"log(wheelbase)",0.315115984,0.4089442954
"max_seating",-0.0290371468,-0.0234238116
"log(poverty_percent)",0.0165980685,0.044480349
"log(asian_only_percent)",0.011084838,0.0307851186
"log(hispanic_percent)",-0.0415835886,-0.0200051987
"log(white_only_percent)",0.0587564498,0.1375406158
"uncommon_make1",0.1563265235,0.251383259
"spcl_fuelBIODIESEL-CNG-PROPANE",0.2066394997,0.3739686413
"spcl_fuelDIESEL",0.2429445192,0.3168217886
"spcl_fuelELECTRIC-HYBRID",0.1491085873,0.1790458133
"AWD_4WD1",0.1797627156,0.1943134049
"single_owner1",0.0167506012,0.0304090546
"dealer_typeAgg.",-0.0408028202,-0.0163551224
"dealer_typeFleet",-0.1434364107,-0.1224387964
"dealer_typeFranchise",0.0346816251,0.0490818125
"has_accidents1",-0.031022771,-0.0119773903
