"","price","age","mileage","daysonmarket","horsepower","best_mpg","cubic_in","wheelbase","max_seating","median_income","poverty_percent","asian_only_percent","black_only_percent","hispanic_percent","white_only_percent","body_type","color","uncommon_make","spcl_fuel","AWD_4WD","single_owner","dealer_type","has_accidents","id"
"16536",72991,13,84647,93,415,22,633366.72,92.7,2,69665,13.3,0.067294689,0.03448824,0.593743736,0.828351315,"Sedan-Coupe-Hatchback","WHITE","0","0","0","0","Franchise","0",2929910
"13073",32900,23,51000,90,240,26,617726.51,106.3,5,101744,9,0.323330116,0.110312213,0.223208596,0.492777305,"Sedan-Coupe-Hatchback","WHITE","0","0","0","1","0","0",2951802
"3728",49981,22,53572,17,282,21,593312.538,89.4,4,101744,9,0.323330116,0.110312213,0.223208596,0.492777305,"Convertible","BLACK","0","0","1","0","Franchise","0",2983296
"10574",15256,3,25875,35,185,36,814953.594,110.4,5,89175,7.1,0.08243688,0.0194613,0.144054287,0.839225866,"Sedan-Coupe-Hatchback","OTHER","0","0","0","1","0","0",2604290
"12848",46995,4,51354,9,362,23,1092669.876,114.8,5,67986,14.2,0.153942477,0.089566333,0.486295245,0.707065778,"SUV-Crossover","SILVER-GRAY","0","0","1","0","0","0",2681927
"12845",15898,7,39429,31,240,33,821980,110.6,5,125933,7.3,0.390195928,0.028337238,0.250173769,0.523524109,"Sedan-Coupe-Hatchback","SILVER-GRAY","0","0","1","0","Franchise","0",2961369
"10572",15995,4,92129,19,180,36,821980,110.6,5,67986,14.2,0.153942477,0.089566333,0.486295245,0.707065778,"Sedan-Coupe-Hatchback","BLACK","0","0","0","1","0","0",2866784
"2291",16400,2,26869,39,170,33,734333.6,104.4,5,66793,12.7,0.07153277,0.072694862,0.50030722,0.795875487,"Sedan-Coupe-Hatchback","WHITE","0","0","0","1","0","0",2735288
"1007",12993,19,180124,43,150,20,957233.025,121.9,5,69475,14.3,0.170105112,0.108617719,0.236308179,0.627530672,"Pickup Truck","UNKNOWN","0","0","0","0","0","0",2628407
"10570",19985,3,24529,17,187,31,858291.975,106.2,5,84170,9.1,0.078828046,0.023963187,0.432426011,0.840522408,"SUV-Crossover","WHITE","0","0","0","1","Franchise","0",2887827
